순위,날짜,제목,언론사,내용
11,2026.07.10 15:58,"'손흥민 잘 써먹었던' LAFC 전 감독 체룬돌로, 미국 올림픽 대표팀 ...",풋볼리스트,"[풋볼리스트] 김희준 기자= 스티브 체룬돌로 전 로스앤젤레스FC(LAFC) 감독이 미국 U23 대표팀에 부임했다. 9일(한국시간) 미국축구연맹은 ""미국 대표팀 베테랑 출신 체룬돌로 감독을 2028 LA 올림픽을 앞두고 U23 남자 축구대표팀 감독으로 임명했다""라고 발표했다. 체룬돌로 감독은 선수 시절 미국 대표팀 선수로 활약했다. 프로 생활은 오직 독일"
12,2026.07.10 13:40,"연봉 164억인데…""월드컵 실패 당장 경질해!"" 브라질 레전드 호마리우,...",엑스포츠뉴스,"(엑스포츠뉴스 이우진 기자) 브라질 축구의 살아있는 전설 호마리우가 2026 국제축구연맹(FIFA) 북중미 월드컵(캐나다·미국·멕시코 공동개최) 조기 탈락의 책임을 물어 카를로 안첼로티 브라질 대표팀 감독의 즉각적인 경질을 촉구했다. 안첼로티가 계약 기간을 아직 4년이나 남겨둔 상황이지만, 호마리우는 ""월드컵 16강 탈락은 결코 용납할 수 없는 '국가적 망"
13,2026.07.10 08:26,"홍명보 연봉 4배인데...월드컵 망쳐놓고 위약금 문제 대충돌, '80억원...",포포투,"[포포투=김아인] 2026 북중미 월드컵 직전 블라디미르 페트초비치 감독과 성급하게 계약을 연장했던 알제리 축구협회(FAF)가 독소 조항에 발목이 잡히며 땅을 치고 후회할 위기에 처했다. 프랑스 매체 '풋 메르카토'는 9일(한국시간) “알제리 축구협회가 모두의 예상을 깨고 월드컵 개막 직전 페트코비치 감독과 2028년까지 계약을 연장했으나, 불과"
14,2026.07.10 13:34,"'2026 월드컵 스타' 오현규, 튀르키예 떠나 EPL?…""승격팀 주목""...",엑스포츠뉴스,(엑스포츠뉴스 나승우 기자) 2026 국제축구연맹(FIFA) 북중미 월드컵서 최고의 활약을 펼쳤던 대한민국 축구대표팀 스트라이커 오현규가 잉글리시 프리미어리그(EPL) 이적설과 연결됐다. 승격팀 헐 시티가 오현규의 상황을 주시하고 있다는 튀르키예발 보도가 전해졌다. 다만 헐 시티 현지 매체는 곧바로 이적 가능성을 부인했다. 튀르키예 스포츠 기자 세르칸 모로
15,2026.07.10 10:36,"손흥민 때문에 10년 후회하더니...음바페도 사랑했던 클롭, ""모든 공 ...",포포투,"[포포투=김아인] 과거 손흥민을 영입하지 못한 것을 두고 ""인생 최대의 실수""라며 후회했던 위르겐 클롭 전 리버풀 감독이 또 한 명의 슈퍼스타 킬리안 음바페를 놓쳤던 후문을 공개했다. 클롭은 10일(한국시간) 독일 '마젠타 스포르트'를 통해 과거 리버풀 사령탑 시절 음바페를 영입하기 위해 상상을 초월하는 공을 들였던 일화를 털어놓았다. 음바페가 A"
16,2026.07.10 12:09,“FIFA 회장도 우리 못 건드린다”…‘아르헨티나 매수설’에 심판위원장 ...,MHN스포츠,"(MHN 황혜성 기자) 피에를루이지 콜리나 국제축구연맹(FIFA) 심판위원장이 아르헨티나와 이집트의 2026 북중미 월드컵 16강전을 둘러싼 판정 논란에 직접 입을 열었다. 콜리나는 9일 FIFA 공식 홈페이지를 통해 공개된 인터뷰에서 월드컵 심판진의 독립성과 공정성을 강조하며, 이집트 측이 제기한 외압 의혹을 정면으로 반박했다. 콜리나는 “판정에 대한"
17,2026.07.09 18:33,"'韓 월드컵 스타' 오현규, 마침내 꿈에 그리던 '빅리그' 이적하나......",스포츠조선,[스포츠조선 이현석 기자]오현규가 꿈에 그리던 빅리그 이적에 성공할 수 있을까. 잉글랜드 프리미어리그(EPL)의 관심이 등장했다. 튀르키예 이적시장 전문가 세르칸 모로바는 9일(한국시각) 개인 SNS를 통해 'EPL의 헐시티가 오현규의 상황에 주목하고 있다'고 보도했다. 베식타스 소식을 전하는 탑캐스트 또한 '베식타스의 오현규 영입을 위해
18,2026.07.10 02:03,"'임대 복귀' 양민혁, '토트넘 이적료 기록 경신' 동료에게 등번호 내줬...",마이데일리,[마이데일리 = 김종국 기자] 양민혁이 토트넘에서 사용하던 등번호를 새롭게 팀에 합류한 페르난데스가 가져갔다. 토트넘은 지난 2일 마테우스 페르난데스 영입을 발표했다. 21살의 신예 페르난데스는 지난 2024-25시즌 사우스햄튼에서 프리미어리그 데뷔전을 치러 데뷔 시즌에 프리미어리그 36경기에 출전해 소속팀에서 대부분의 경기를 뛰었다. 이후 사우스햄튼이
19,2026.07.10 02:03,“독일 대표팀과 2030년까지 계약” 한국은 부러워 미친다…리버풀 떠나 ...,포포투,"[포포투=박진우] 위르겐 클롭 감독은 독일 국가대표팀 지휘봉을 잡을 전망이다. 이적시장 전문가 벤 제이콥스 기자는 9일(한국시간) “클롭 감독이 독일 대표팀 사령탑 부임을 위한 최종 계약 체결을 눈앞에 두고 있다”라고 보도했다. 보루시아 도르트문트, 리버풀을 거치며 굵직한 우승 업적을 남겼던 ‘명장’ 클롭 감독. 지난 2023-24시즌 돌연 리버풀 지"
20,2026.07.10 11:31,'천재는 알면서도 못 막는다' 프랑스의 벽에 가로막혀 8강서 짐싼 모로코...,스포츠조선,"[스포츠조선 노주환 기자]""음바페 개인의 천재성이 결정적이었다."" 북중미월드컵 8강에서 프랑스에 덜미가 잡힌 아프리카 강호 모로코 사령탑 모하메드 우아비 감독은 결정적인 패인으로 프랑스 축구 스타 킬리안 음바페를 꼽았다. 그의 천재성에 모로코가 무너졌다는 것이다. 모로코는 10일(한국시각) 미국 보스턴 스타디움에서 벌어진"
