순위,날짜,제목,언론사,내용
11,2026.07.08 10:19,"'이강인 대 홀란' 전격 성사됐다...이강인, 아틀레티코 마드리드 유니폼...",OSEN,"[OSEN=서정환 기자] 이강인(25, PSG)이 아틀레티코 마드리드 유니폼을 입고 한국에서 뛴다. 유럽 이적시장 전문가 파브리치오 로마노는 7일(한국시간) ""이강인의 아틀레티코 마드리드 이적이 완료됐다""고 전했다. 계약 기간은 2031년까지 5년이며, 이적료는 기본 3500만 유로(약 610억 원), 옵션 포함 최대 4000만 유로(약 700억 원)"
12,2026.07.08 08:23,"'8강 대진 완성' 유럽 6팀 생존, 남미는 메시의 아르헨뿐…프랑스-모로...",OSEN,"[OSEN=정승우 기자] 2026 국제축구연맹(FIFA) 북중미 월드컵 8강 대진이 모두 완성됐다. 우승을 향한 경쟁은 이제 8개 팀만 남았다. 이번 대회 8강은 프랑스-모로코, 스페인-벨기에, 노르웨이-잉글랜드, 아르헨티나-스위스의 맞대결로 압축됐다. 개최국 미국, 캐나다, 멕시코는 모두 16강에서 탈락했다. 이에 따라 남은 8강, 4강, 3·4위전,"
13,2026.07.08 12:08,"'월드컵 데뷔전 데뷔골' 韓 스타 공격수 오현규, 대형 시련 닥치나......",OSEN,"[OSEN=고성환 기자] 오현규(25, 베식타스)의 입지가 위험해질 수 있다. 새로운 감독이 부임한 베식타스가 대형 스트라이커 영입을 노리고 있다는 소식이다. 튀르키예 '아 하베르'는 7일(한국시간) ""베식타스에 이어 페네르바체도 참전! 새 시즌을 앞두고 우승을 목표로 하는 페네르바체 역시 루카쿠 영입을 추진하고 있다. 베식타스도 그에게 관심을 보이고"
14,2026.07.08 08:09,“당신은 축구가 안 맞는 것” 메시의 소신 발언 “왜 이게 논란인지 이해...,스포츠경향,아르헨티나의 주장 리오넬 메시가 아집트전 나온 득점 취소 논란에 입을 열었다. 아르헨티나 축구대표팀은 8일(한국시간) 미국 조지아 애틀랜타에 있는 메르세데스-벤츠 스타디움에서 열린 2026 국제축구연맹(FIFA) 북중미 월드컵 16강에서 이집트를 만나 3-2로 승리했다. 명경기였다. 아르헨티나는 지난 2022 카타르 월드컵 우승팀이자 이번 북중미도 우승
15,2026.07.07 12:19,"""손흥민도 분명 이랬을 거야""...승리 직후 '이집트의 왕' 살라가 보인...",MHN스포츠,(MHN 황혜성 기자) 모하메드 살라가 ‘이집트의 왕’다운 품격을 보여줬다. 이집트는 지난 4일(한국시간) 미국 댈러스 스타디움에서 열린 2026 FIFA 북중미 월드컵 32강전에서 호주와 1-1로 비긴 뒤 승부차기에서 4-2로 승리했다. 살라를 포함한 이집트 선수들은 침착하게 승부차기를 성공시키며 월드컵 토너먼트 첫 승이라는 역사적인 순간을 만들었다.
16,2026.07.08 20:41,"""하루 6끼, 곰처럼 먹는다""…195cm 괴물 공격수 홀란 이렇게 만들어...",엑스포츠뉴스,"(엑스포츠뉴스 윤준석 기자) 2026 국제축구연맹(FIFA) 북중미 월드컵에서 놀라운 득점 행진을 보여주고 있는 노르웨이 축구대표팀 공격수 엘링 홀란의 식단이 전 세계 축구팬들의 관심을 받고 있다. 하루 무려 6끼를 먹고 약 6000칼로리를 섭취하는 것으로 알려졌다. 영국 '더 선'은 8일(한국시간) 홀란의 식습관과 식단을 집중 조명하며 ""잉글랜드와의 월드"
17,2026.07.07 21:01,"호날두 '노욕', 조국도 등 돌렸다…""너무 지나쳤다"", ""작별의 시간"" ...",엑스포츠뉴스,(엑스포츠뉴스 김환 기자) 포르투갈 언론조차 자국 축구 역사상 최고의 선수에게 질려버렸다. 포르투갈 축구 국가대표팀이 2026 국제축구연맹(FIFA) 북중미 월드컵 16강전에서 스페인에 패해 탈락한 뒤 포르투갈 언론들이 자국 최고의 축구 스타 크리스티아누 호날두를 향해 비판을 쏟아내고 있다. 스페인전을 앞두고 이번 대회가 자신의 마지막 월드컵이 될 거라고
18,2026.07.08 07:23,"""메시를 위해 우리가 희생됐다, 명백한 조작"" 이집트 감독, '2-0→2...",OSEN,[OSEN=강필주 기자] '디펜딩 챔피언' 아르헨티나에 뼈아픈 대역전패를 당한 이집트 축구대표팀이 단단히 뿔이 났다. 호삼 하산(60) 감독이 이끄는 이집트는 8일(한국시간) 미국 애틀란타의 애틀랜타 스타디움에서 열린 2026 국제축구연맹(FIFA) 북중미 월드컵 16강전에서 리오넬 메시가 1골 1도움으로 활약한 아르헨티나에 2-3으로 역전패했다. 이
19,2026.07.08 20:01,"월드컵 못 간 '日 에이스' 미토마, 도쿄서 교통사고→""48세 여성 부상...",엑스포츠뉴스,"(엑스포츠뉴스 김정현 기자) 일본 축구 스타 미토마 가오루가 도쿄 시내에서 교통 사고를 냈다. 일본 방송 '아사히 TV'는 8일 속보를 통해 미토마가 이날 오전 교통사고에 휩싸였다고 보도했다. 매체는 ""미토마가 운전 중 사고를 일으켜 자전거를 타던 48세 여성을 다치게 한 사실이 밝혀졌다. 수사관들에 따르면, 8일 오전 8시 30분 도쿄 이타바시구에서"
20,2026.07.08 10:07,"프랑스 검찰까지 움직인다…음바페 향한 ""침팬지·야만인"" 인종차별 파문 파...",엑스포츠뉴스,"(엑스포츠뉴스 윤준석 기자) 프랑스 축구대표팀 주장 킬리안 음바페를 향한 인종차별적 발언이 국제적인 파문으로 번지면서 프랑스 검찰이 공식 수사에 착수했다. 프랑스축구연맹(FFF)의 고발 이후 온라인 혐오 표현 전담 기관을 통해 사건이 접수됐고, 검찰은 해당 발언이 형사처벌 대상이 될 수 있는지를 본격적으로 들여다보기 시작했다. 영국 '가디언'의 8일(한국시"
